ZONA,RUTA,CUENTA,FECHA_PROGRAMADA,FECHA_LECTURA,LECTURA,ESTADO
ZONA_05,023,89015,2026-08-21,2026-08-24,14456,LEIDA
ZONA_05,024,89016,2026-08-21,,0,FALTANTE
ZONA_05,024,89017,2026-08-21,,0,FALTANTE
ZONA_05,024,89018,2026-08-21,,0,FALTANTE
ZONA_05,024,89019,2026-08-21,2026-08-25,14678,LEIDA
ZONA_05,024,89020,2026-08-21,2026-08-25,14890,LEIDA
ZONA_05,025,89021,2026-08-21,2026-08-26,15012,LEIDA
ZONA_05,025,89022,2026-08-21,2026-08-26,15234,LEIDA
ZONA_05,025,89023,2026-08-21,,0,FALTANTE
ZONA_05,025,89024,2026-08-21,,0,FALTANTE
ZONA_05,025,89025,2026-08-21,,0,FALTANTE
